SiteID,Lat,Lon,KG,PFT,elev,start_year,end_year,no_of_years
AR-SLu,-33.4648,-66.4598,BSh,MF,506.0,2009,2011,3
AR-Vir,-28.2395,-56.1886,Cfa,ENF,105.0,2010,2012,3
AT-Neu,47.1167,11.3175,Dfc,GRA,970.0,2002,2012,11
AU-Ade,-13.0769,131.1178,Aw,WSA,90.0,2007,2009,3
AU-ASM,-22.283,133.249,BWh,WSA,606.0,2010,2014,5
AU-Cpr,-34.0021,140.5891,BSk,SAV,62.0,2010,2014,5
AU-Cum,-33.6133,150.7225,Cfa,EBF,20.0,2012,2014,3
AU-DaP,-14.0633,131.3181,Aw,GRA,71.0,2007,2013,7
AU-DaS,-14.1593,131.3881,Aw,SAV,110.0,2008,2011,4
AU-Dry,-15.2588,132.3706,Aw,SAV,175.0,2008,2014,7
AU-Emr,-23.8587,148.4746,BSh,GRA,170.0,2011,2013,3
AU-Fog,-12.5452,131.3072,Aw,WET,4.0,2006,2008,3
AU-Gin,-31.3764,115.7138,Csa,WSA,51.0,2011,2013,3
AU-RDF,-14.5636,132.4776,Aw,WSA,188.0,2011,2013,3
AU-Rob,-17.1175,145.6301,Cfa,EBF,710.0,2014,2014,1
AU-TTE,-22.287,133.64,BWh,GRA,553.0,2012,2014,3
AU-Tum,-35.6566,148.1517,Cfb,EBF,1200.0,2001,2014,14
AU-Wac,-37.4259,145.1878,Cfb,EBF,545.0,2005,2008,4
AU-Whr,-36.6732,145.0294,Cfa,EBF,165.0,2011,2014,4
AU-Wom,-37.4222,144.0944,Cfb,EBF,705.0,2010,2014,5
AU-Ync,-34.9893,146.2907,BSk,GRA,126.0,2012,2014,3
BE-Bra,51.3092,4.5206,Cfb,MF,16.0,1999,2014,16
BE-Lon,50.5516,4.7461,Cfb,CRO,167.0,2004,2014,11
BE-Vie,50.3051,5.9981,Cfb,MF,450.0,1996,2014,19
BR-Sa1,-2.8567,-54.9589,Am,EBF,88.0,2002,2011,10
BR-Sa3,-3.018,-54.9714,Am,EBF,100.0,2000,2004,5
CA-Gro,48.2167,-82.1556,Dfb,MF,340.0,2003,2014,12
CA-NS2,55.9058,-98.5247,Dfc,ENF,260.0,2001,2005,5
CA-NS3,55.9117,-98.3822,Dfc,ENF,260.0,2001,2005,5
CA-NS4,55.9117,-98.3822,Dfc,ENF,260.0,2002,2005,4
CA-NS5,55.8631,-98.485,Dfc,ENF,260.0,2001,2005,5
CA-NS6,55.9167,-98.9644,Dfc,OSH,244.0,2001,2005,5
CA-NS7,56.6358,-99.9483,Dfc,OSH,297.0,2002,2005,4
CA-Oas,53.6289,-106.1978,Dfc,DBF,530.0,1996,2010,15
CA-Obs,53.9872,-105.1178,Dfc,ENF,628.94,1999,2010,12
CA-Qfo,49.6925,-74.3421,Dfc,ENF,382.0,2003,2010,8
CA-SF1,54.485,-105.8176,Dfc,ENF,536.0,2003,2006,4
CA-SF2,54.2539,-105.8775,Dfc,ENF,520.0,2001,2005,5
CA-SF3,54.0916,-106.0053,Dfc,OSH,540.0,2002,2006,5
CA-TP1,42.6609,-80.5595,Dfb,ENF,265.0,2003,2014,12
CA-TP2,42.7744,-80.4588,Dfb,ENF,212.0,2003,2007,5
CA-TP3,42.7068,-80.3483,Dfb,ENF,184.0,2003,2014,12
CA-TP4,42.7102,-80.3574,Dfb,ENF,184.0,2002,2014,13
CA-TPD,42.6353,-80.5577,Dfb,DBF,260.0,2012,2014,3
CG-Tch,-4.2892,11.6564,Aw,SAV,82.0,2006,2009,4
CH-Cha,47.2102,8.4104,Cfb,GRA,393.0,2005,2014,10
CH-Dav,46.8153,9.8559,ET,ENF,1639.0,1997,2014,18
CH-Fru,47.1158,8.5378,Cfb,GRA,982.0,2005,2014,10
CH-Lae,47.4781,8.365,Cfb,MF,689.0,2004,2014,11
CH-Oe1,47.2858,7.7319,Cfb,GRA,450.0,2002,2008,7
CH-Oe2,47.2863,7.7343,Cfb,CRO,452.0,2004,2014,11
CN-Cha,42.4025,128.0958,Dwb,MF,738.0,2003,2005,3
CN-Cng,44.5934,123.5092,BSk,GRA,171.0,2007,2010,4
CN-Dan,30.4978,91.0664,Dwc,GRA,4286.0,2004,2005,2
CN-Din,23.1733,112.5361,Cfa,EBF,507.0,2003,2005,3
CN-Du2,42.0467,116.2836,Dwb,GRA,1350.0,2007,2008,2
CN-Du3,42.0551,116.2809,Dwb,GRA,1350.0,2009,2010,2
CN-HaM,37.37,101.18,ET,GRA,3190.0,2002,2004,3
CN-Qia,26.7414,115.0581,Cfa,ENF,109.0,2003,2005,3
CN-Sw2,41.7902,111.8971,BSk,GRA,1438.0,2010,2012,3
CZ-BK1,49.5021,18.5369,Dfb,ENF,908.0,2004,2014,11
CZ-BK2,49.4944,18.5429,Dfb,GRA,855.0,2006,2012,7
CZ-wet,49.0247,14.7704,Cfb,WET,426.0,2006,2014,9
DE-Akm,53.8662,13.6834,Cfb,WET,-1.0,2009,2014,6
